Squad,Players_used,90s,SCA,SCA90,SCA_Passlive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def
Atlanta Utd,23,9.0,217,24.11,163,20,10,14,7,3,17,1.89,12,3,0,0,2,0
Austin,19,9.0,200,22.22,155,16,13,7,6,3,14,1.56,7,3,3,0,1,0
CF Montréal,26,9.0,167,18.56,127,12,7,12,5,4,6,0.67,3,0,1,2,0,0
Charlotte,19,9.0,161,17.89,119,11,10,8,12,1,22,2.44,10,3,3,2,4,0
Chicago Fire,23,9.0,194,21.56,149,11,10,14,6,4,26,2.89,17,0,2,3,2,2
Colorado Rapids,25,9.0,179,19.89,136,12,6,11,11,3,24,2.67,20,0,0,1,3,0
Columbus Crew,22,9.0,196,21.78,150,8,17,7,10,4,18,2.0,17,0,0,0,0,1
D.C. United,21,9.0,197,21.89,147,20,8,14,6,2,19,2.11,14,1,2,0,1,1
FC Cincinnati,23,9.0,211,23.44,159,14,10,12,13,3,20,2.22,14,0,2,2,2,0
FC Dallas,21,9.0,157,17.44,123,15,4,6,6,3,14,1.56,11,0,1,2,0,0
Houston Dynamo,23,9.0,164,18.22,118,19,6,8,12,1,14,1.56,8,2,0,2,2,0
Inter Miami,25,8.0,152,19.0,118,7,9,6,9,3,24,3.0,19,2,2,0,1,0
LA Galaxy,24,9.0,183,20.33,143,15,7,7,8,3,12,1.33,10,0,0,1,1,0
LAFC,23,9.0,179,19.89,130,7,14,14,8,6,20,2.22,11,0,1,5,2,1
Minnesota Utd,22,9.0,206,22.89,152,16,11,16,10,1,19,2.11,13,2,0,3,1,0
Nashville SC,21,9.0,236,26.22,168,21,6,24,13,4,22,2.44,15,2,1,2,2,0
NE Revolution,21,8.0,152,19.0,109,15,5,9,11,3,10,1.25,6,0,0,1,3,0
NY Red Bulls,23,9.0,180,20.0,126,16,9,10,17,2,19,2.11,14,0,0,2,3,0
NYCFC,20,9.0,189,21.0,142,8,8,20,7,4,15,1.67,6,1,1,5,2,0
Orlando City,23,9.0,227,25.22,174,16,6,16,9,6,29,3.22,20,2,1,1,4,1
Philadelphia Union,22,9.0,240,26.67,184,19,6,16,9,6,28,3.11,23,2,1,2,0,0
Portland Timbers,21,9.0,164,18.22,125,15,5,11,6,2,22,2.44,14,2,1,3,2,0
Real Salt Lake,22,9.0,221,24.56,157,21,9,19,14,1,12,1.33,10,0,0,2,0,0
San Diego FC,23,9.0,212,23.56,163,17,9,12,11,0,28,3.11,20,3,1,2,2,0
Seattle Sounders,24,9.0,252,28.0,179,23,15,18,13,4,22,2.44,17,0,3,2,0,0
SJ Earthquakes,24,9.0,284,31.56,216,24,6,18,14,6,35,3.89,26,3,0,1,4,1
Sporting KC,22,9.0,163,18.11,116,14,8,6,15,4,26,2.89,19,1,0,2,3,1
St. Louis,21,9.0,171,19.0,127,17,3,17,6,1,7,0.78,6,0,0,1,0,0
Toronto FC,25,9.0,120,13.33,94,10,2,4,8,2,14,1.56,10,1,1,0,2,0
Vancouver W'caps,25,9.0,254,28.22,183,23,12,20,10,6,30,3.33,25,1,1,2,0,1
