Squad,Players_used,Poss,90s,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,TO_Att,TO_Succ,TO_Succ%,TO_Tkld,TO_Tkld%,Carries,TotDist,PrgDist,PrgC,Carry1/3,Carry_PA,Mis,Dis,Pass_Rec,Pass_PrgR
Atlanta Utd,23,52.6,9.0,5778,528,1851,2630,1334,239,5777,143,72,50.3,63,44.1,3422,16187,7731,158,102,58,113,55,3997,399
Austin,19,43.9,9.0,4911,644,1819,2054,1086,178,4910,132,63,47.7,62,47.0,2868,13097,6309,129,76,43,126,53,3132,286
CF Montréal,26,54.1,9.0,5730,610,2010,2477,1285,172,5730,115,62,53.9,45,39.1,3198,15501,7588,146,112,41,125,78,3827,389
Charlotte,19,47.6,9.0,5264,658,1935,2254,1120,176,5262,164,66,40.2,90,54.9,3241,14329,7678,152,94,50,121,72,3520,343
Chicago Fire,23,48.7,9.0,5530,720,2189,2295,1093,173,5528,134,44,32.8,85,63.4,3031,13040,6455,128,79,44,127,95,3687,307
Colorado Rapids,25,44.0,9.0,4889,534,1492,2136,1309,215,4886,110,53,48.2,52,47.3,2475,12145,5963,118,88,35,133,90,2868,315
Columbus Crew,22,57.9,9.0,6499,521,1845,2959,1748,236,6499,162,71,43.8,85,52.5,4074,18547,9050,164,115,47,121,77,4781,436
D.C. United,21,50.8,9.0,5297,491,1625,2284,1438,221,5295,115,49,42.6,63,54.8,2754,12034,5574,103,88,36,114,88,3285,329
FC Cincinnati,23,50.2,9.0,5804,586,1936,2627,1302,195,5802,167,75,44.9,84,50.3,3246,16467,8038,167,128,44,156,92,3731,334
FC Dallas,21,46.8,9.0,5095,603,1776,2231,1131,207,5093,145,65,44.8,73,50.3,2310,11165,5619,130,71,39,142,69,3143,327
Houston Dynamo,23,52.8,9.0,5893,516,1904,2656,1383,191,5893,111,57,51.4,48,43.2,3220,15537,7381,136,102,34,127,68,4131,375
Inter Miami,25,52.6,8.0,5242,551,1819,2343,1124,160,5242,140,61,43.6,74,52.9,3216,13950,7140,105,79,22,122,55,3708,337
LA Galaxy,24,51.8,9.0,5900,573,1754,2786,1398,156,5900,130,53,40.8,68,52.3,3235,16857,7806,124,122,41,136,58,4250,336
LAFC,23,51.4,9.0,6054,593,1915,2855,1327,194,6053,194,89,45.9,97,50.0,3545,16415,7955,149,100,54,166,76,4131,393
Minnesota Utd,22,37.4,9.0,4391,523,1587,1684,1169,240,4390,150,70,46.7,69,46.0,1896,9510,4858,104,79,43,129,85,2237,261
Nashville SC,21,50.0,9.0,5692,660,2124,2398,1217,203,5687,145,63,43.4,77,53.1,3013,13510,6738,121,85,31,147,81,3720,325
NE Revolution,21,46.9,8.0,4752,541,1656,2062,1087,170,4750,142,65,45.8,64,45.1,2614,13954,6210,128,92,35,107,58,2951,258
NY Red Bulls,23,52.3,9.0,5819,499,1634,2797,1440,171,5816,124,59,47.6,59,47.6,3274,16041,8155,130,124,28,127,95,3898,364
NYCFC,20,52.2,9.0,5958,686,2006,2575,1420,210,5956,130,44,33.8,84,64.6,3338,15760,8124,140,93,40,135,76,3890,373
Orlando City,23,46.1,9.0,5125,523,1773,2258,1149,197,5124,170,78,45.9,87,51.2,2623,12530,6330,123,92,46,130,59,3257,347
Philadelphia Union,22,49.2,9.0,5316,436,1459,2505,1415,219,5315,119,57,47.9,57,47.9,2751,13759,5881,111,89,28,157,84,3043,330
Portland Timbers,21,46.8,9.0,5542,628,1988,2528,1083,157,5541,159,71,44.7,83,52.2,3222,15470,7880,157,123,44,149,62,3677,291
Real Salt Lake,22,54.6,9.0,5814,567,1865,2728,1278,152,5814,134,65,48.5,61,45.5,3376,16986,8797,146,127,24,160,77,3973,338
San Diego FC,23,58.2,9.0,6580,578,1965,3051,1629,228,6580,118,56,47.5,55,46.6,3984,17120,8828,178,104,39,128,65,4933,427
Seattle Sounders,24,55.1,9.0,6215,501,1631,2918,1710,252,6215,147,68,46.3,70,47.6,3469,16569,7996,151,120,50,125,70,4351,431
SJ Earthquakes,24,50.2,9.0,5428,517,1742,2375,1363,235,5425,141,64,45.4,71,50.4,2883,15293,7888,168,120,39,154,85,3273,374
Sporting KC,22,53.0,9.0,5743,427,1406,2669,1709,215,5740,117,47,40.2,66,56.4,3205,16095,8042,171,113,52,141,73,3796,431
St. Louis,21,43.6,9.0,4804,625,1988,1905,949,176,4804,108,41,38.0,56,51.9,2490,12063,5554,109,77,31,118,79,2918,286
Toronto FC,25,44.3,9.0,4993,599,1890,2159,1005,119,4992,134,59,44.0,68,50.7,2700,14056,6119,132,90,35,148,63,3111,274
Vancouver W'caps,25,54.9,9.0,5982,471,1635,2778,1614,288,5981,135,57,42.2,69,51.1,3575,16723,7971,166,111,55,145,72,4145,456
